ID,Category,EmotionType,RunID,ConList,ConID,ConLabel,BlockRep,TrialType,CB,ImageFile,FixISI
Objects_023_v,Objects,Negative,5,3,emo1,within SF?,1,Old,A,Stimuli/Objects_023_v.jpg,0.559
Objects_148_h,Objects,Negative,2,4,emo2,professional photo?,1,Old,A,Stimuli/Objects_148_h.jpg,1.755
Faces_284_h,Faces,Negative,3,3,emo1,within SF?,2,Old,A,Stimuli/Faces_284_h.jpg,3.582
Faces_188_h,Faces,Neutral,5,1,neu1,within SF?,2,Old,A,Stimuli/Faces_188_h.jpg,3.745
Objects_318_h,Objects,Negative,5,3,emo1,within SF?,1,Old,A,Stimuli/Objects_318_h.jpg,1.922
Faces_366_h,Faces,Negative,1,4,emo2,professional photo?,1,Old,A,Stimuli/Faces_366_h.jpg,3.582
Faces_053_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_053_h.jpg,0.5
Faces_180_h,Faces,Neutral,2,1,neu1,within SF?,2,Old,A,Stimuli/Faces_180_h.jpg,3.506
Faces_152_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_152_h.jpg,0.5
Faces_367_h,Faces,Negative,2,3,emo1,within SF?,1,Old,A,Stimuli/Faces_367_h.jpg,0.834
Faces_270_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_270_h.jpg,0.5
Objects_182_v,Objects,Negative,3,3,emo1,within SF?,2,Old,A,Stimuli/Objects_182_v.jpg,3.52
Objects_173_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_173_h.jpg,0.5
Objects_320_h,Objects,Neutral,2,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_320_h.jpg,3.52
Objects_247_h,Objects,Neutral,1,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_247_h.jpg,1.262
Objects_151_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_151_h.jpg,0.5
Objects_093_h,Objects,Neutral,3,1,neu1,within SF?,2,Old,A,Stimuli/Objects_093_h.jpg,5.089
Objects_020_h,Objects,Neutral,3,1,neu1,within SF?,2,Old,A,Stimuli/Objects_020_h.jpg,1.151
Animals_097_h,Animals,Neutral,6,1,neu1,within SF?,2,Old,A,Stimuli/Animals_097_h.jpg,1.151
