8.9088 	EXP 	image_2: autoDraw = True
8.9088 	EXP 	scale_itemrec: autoDraw = True
8.9088 	EXP 	fixISI: autoDraw = False
11.0777 	DATA 	Keypress: v
11.1417 	EXP 	image_2: autoDraw = False
11.1417 	EXP 	scale_itemrec: autoDraw = False
11.1417 	EXP 	fixISI: autoDraw = False
11.1417 	EXP 	image: image = u'PracticeStim/dog2.jpg'
11.1417 	EXP 	image: autoDraw = True
11.1417 	EXP 	scale_sourcerec: autoDraw = True
11.8099 	DATA 	Keypress: b
11.8580 	EXP 	image: autoDraw = False
11.8580 	EXP 	scale_sourcerec: autoDraw = False
11.8580 	EXP 	image_3: image = u'PracticeStim/dog2.jpg'
11.8580 	EXP 	image_3: autoDraw = True
11.8580 	EXP 	scale_sourceconf: autoDraw = True
12.4271 	DATA 	Keypress: v
12.4424 	EXP 	image_3: autoDraw = False
12.4424 	EXP 	scale_sourceconf: autoDraw = False
12.4424 	EXP 	fixation_2: autoDraw = True
12.6766 	EXP 	New trial (rep=0, index=1): {'Category': u'cat', 'FixISI': 0.58899999999999997, 'ConList': 1, 'CB': u'A', 'ConLabel': u'within SF?', 'ImageFile': u'PracticeStim/cat1.jpg', 'EmotionType': None, 'RunID': 1, 'ConID': u'A', 'BlockRep': 1, 'ID': u'cat1', 'TrialType': u'New'}
12.7229 	EXP 	window1: recordFrameIntervals = False
12.7423 	EXP 	fixation_2: autoDraw = False
12.7423 	EXP 	fixation_2: autoDraw = False
12.7423 	EXP 	takeBreak: autoDraw = True
12.7423 	EXP 	takeBreak: autoDraw = False
12.7423 	EXP 	image_2: image = u'PracticeStim/cat1.jpg'
12.7423 	EXP 	fixISI: autoDraw = True
12.7424 	EXP 	window1: recordFrameIntervals = False
13.2433 	EXP 	image_2: autoDraw = True
13.2433 	EXP 	scale_itemrec: autoDraw = True
13.2433 	EXP 	fixISI: autoDraw = False
13.9121 	DATA 	Keypress: v
13.9939 	EXP 	image_2: autoDraw = False
13.9939 	EXP 	scale_itemrec: autoDraw = False
13.9939 	EXP 	fixISI: autoDraw = False
13.9939 	EXP 	image: image = u'PracticeStim/cat1.jpg'
13.9939 	EXP 	image: autoDraw = True
13.9939 	EXP 	scale_sourcerec: autoDraw = True
14.3781 	DATA 	Keypress: b
14.4440 	EXP 	image: autoDraw = False
